latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
32.49611,74.74179,341.72,0.44,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,313.02,8.87,D
31.74434,75.61347,345.87,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,307.93,16.28,D
31.74129,75.59589,345.19,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,313.75,4.85,D
31.74052,75.59148,349.96,0.42,0.38,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,312.92,4.85,D
31.73594,75.56506,350.29,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,311.62,8.73,D
31.74624,75.60387,351.59,0.42,0.38,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,315.26,15.15,D
31.73937,75.56424,349.88,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,314.24,17.19,D
31.40408,73.7178,339.32,0.5,0.41,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,307.02,2.53,D
31.74967,75.60305,347.16,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,309.94,15.15,D
31.74814,75.59425,339.13,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,309.39,5.89,D
31.74279,75.56343,347.43,0.42,0.38,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,311.6,17.19,D
31.77203,75.71185,336.41,0.42,0.37,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,307.73,3.47,D
31.74622,75.56261,351.77,0.42,0.38,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,311.43,6.85,D
31.74966,75.56179,343.06,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,310.66,6.85,D
31.75308,75.56097,344.04,0.42,0.38,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,310.17,10.42,D
31.75232,75.55656,338.22,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,307.85,2.4,D
31.75651,75.56016,349.57,0.42,0.38,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,310.44,10.42,D
31.77059,75.62094,333.36,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,307.95,2.66,D
31.76983,75.61655,351.25,0.42,0.38,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,309.21,6.61,D
31.7668,75.59897,336.89,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,308.44,6.78,D
31.77325,75.61574,344,0.42,0.38,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,310.89,6.61,D
31.7725,75.61134,337.05,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,307.64,6.61,D
31.5051,74.09332,332.13,0.48,0.4,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,307.08,2.28,D
31.75066,75.42316,349.64,0.43,0.38,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,312.85,7.24,D
31.5225,74.14643,339.15,0.48,0.4,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,310.3,4.1,D
31.76642,75.49342,338.84,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,309.79,4.39,D
31.4623,73.80068,342.02,0.5,0.41,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,313.02,7.02,D
31.46134,73.79552,339.06,0.5,0.41,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,311.9,4.42,D
31.76381,75.49128,335.15,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,309.01,3.21,D
31.76725,75.49046,345.46,0.42,0.38,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,309.54,3.21,D
31.65344,74.81672,337.77,0.45,0.39,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,310.17,1.65,D
31.48038,73.89095,336.83,0.49,0.4,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,311.22,1.26,D
31.4627,73.79866,352.56,0.5,0.41,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,315.08,13.67,D
31.50819,74.01677,338.93,0.48,0.4,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,311.01,3.18,D
31.52704,74.09612,338.37,0.48,0.4,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,309.94,3.49,D
31.47672,73.81126,339,0.49,0.41,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,309.81,3.26,D
31.5188,73.97173,336.89,0.49,0.4,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,311.27,2.1,D
31.51863,73.95053,337.45,0.49,0.4,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,311.64,2.32,D
31.54038,74.04549,344.2,0.48,0.4,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,310.82,4.79,D
31.54023,74.02446,337.68,0.48,0.4,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,310.36,5.45,D
31.55143,74.06371,332.97,0.48,0.4,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,306.42,1.97,D
31.53994,73.98224,339.68,0.49,0.4,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,312.11,3.09,D
31.56433,74.09188,341.24,0.48,0.4,2026-05-01,0758,SNPP,SNPP,n,2.0NRT,306.78,4.85,D
31.51313,73.75861,339.12,0.5,0.41,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,311.01,3.2,D
31.55061,73.93704,338.05,0.49,0.4,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,308.43,2.8,D
31.72911,75.60794,347.63,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,314.84,7.05,D
31.73407,75.61591,356.54,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,320.2,34.04,D
31.73254,75.60712,349.96,0.42,0.38,2026-05-01,0758,SNPP,SNPP,l,2.0NRT,310.74,6.93,D
31.73597,75.60631,367,0.42,0.38,2026-05-01,0758,SNPP,SNPP,h,2.0NRT,310.86,6.93,D
